standard,category,subject,title,publication,default_qty_per_student
PRE KG,NB,,80 PAGES,,2
LKG,INHOUSE,,LKG BOOK SET,DAV PUBLICATION,
LKG,NB,,"0.75"" MATHS BROAD CHECKS",,1
LKG,NB,,172 PAGES FOUR RULED,,1
LKG,TB,,LKG ART,DAV PUBLICATION,
LKG,TB,,LKG CRAFT,DAV PUBLICATION,
LKG,TB,,LKG ENGLISH 1,DAV PUBLICATION,
LKG,TB,,LKG ENGLISH 2,DAV PUBLICATION,
LKG,TB,,LKG GENERAL KNOWLEDGE,DAV PUBLICATION,
LKG,TB,,LKG HINDI,DAV PUBLICATION,
LKG,TB,,LKG NUMBER WORK,DAV PUBLICATION,
LKG,TB,,LKG RHYMES,DAV PUBLICATION,
LKG,TB,,LKG TAMIL,DAV PUBLICATION,
LKG,TB,,LKG WORKSHEET,DAV PUBLICATION,
UKG,INHOUSE,,UKG BOOK SET,DAV PUBLICATION,
UKG,NB,,"0.75 "" MATHS BROAD CHECKS",,2
UKG,NB,,172 PAGES FOUR RULED,,2
UKG,TB,,LKG HINDI,DAV PUBLICATION,
UKG,TB,,UKG ART,DAV PUBLICATION,
UKG,TB,,UKG CRAFT,DAV PUBLICATION,
UKG,TB,,UKG ENGLISH 1,DAV PUBLICATION,
UKG,TB,,UKG ENGLISH 2,DAV PUBLICATION,
UKG,TB,,UKG GENERAL KNOWLEDGE 1,DAV PUBLICATION,
UKG,TB,,UKG GENERAL KNOWLEDGE 2,DAV PUBLICATION,
UKG,TB,,UKG NUMBER WORK 1,DAV PUBLICATION,
UKG,TB,,UKG NUMBER WORK 2,DAV PUBLICATION,
UKG,TB,,UKG RHYMES,DAV PUBLICATION,
UKG,TB,,UKG TAMIL,DAV PUBLICATION,
UKG,TB,,UKG WORKSHEET,DAV PUBLICATION,
I,INHOUSE,,Art - Kalakruti Class 1,DAV PUBLICATION,
I,INHOUSE,,Cursive Writing Class 1,DAV PUBLICATION,
I,INHOUSE,,Fostering Vedic Values Class 1,DAV PUBLICATION,
I,INHOUSE,,Mantras and Shlokas Class 1,DAV PUBLICATION,
I,INHOUSE,,Mathematics - Anubhav Ganitam Class 1,DAV PUBLICATION,
I,INHOUSE,,Mathematics - Ganitam Class 1-Part 1,DAV PUBLICATION,
I,INHOUSE,,Mathematics - Ganitam Class 1-Part 2,DAV PUBLICATION,
I,INHOUSE,,Spoken English - Speaking Circles Class 1,DAV PUBLICATION,
I,NB,,172 P 1/2 INCH CHECKED,,
I,NB,,172 P BROAD RULED,,
I,NB,,172 P DOUBLE RULED,,
I,NB,,172 P FOUR RULED,,
I,NB,,92 P FOUR RULED,,
I,TB,MATHS,ANUBHAV GANITHAM,DAV PUBLICATION,
I,TB,ENGLISH,CURSIVE WRITING,DAV PUBLICATION,
I,TB,M.I BOOK,FOSTERING VEDIC VALUES,DAV PUBLICATION,
I,TB,MATHS,GANITAM MATHEMATICS ( PART I ),DAV PUBLICATION,
I,TB,MATHS,GANITAM MATHEMATICS ( PART II ),DAV PUBLICATION,
