id,school_id,class_id,bookName,subject,publication,vendor,category,invoiceRef,strength,purchased,distributed,returned,balance,booksRequired,remarks,created_by,created_time,modified_by,modified_time
L_9dqim9lv,1,103,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-1-103-01,41,42,38,4,8,0,New academic session,staff,2026-07-19 10:32:00,admin,2026-07-20 13:32:00
L_ksho2s11,1,103,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-1-103-02,44,47,43,1,5,0,New academic session,admin,2026-07-17 15:50:00,staff,2026-07-18 20:50:00
L_fwpkwf04,1,104,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-1-104-01,37,50,30,2,22,0,Stock verified,admin,2026-07-14 13:09:00,staff,2026-07-16 15:09:00
L_ka5bbxe7,1,104,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-1-104-02,41,45,33,0,12,0,Issued for current term,staff,2026-07-22 15:58:00,admin,2026-07-24 16:58:00
L_jah04xni,1,105,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-1-105-01,31,47,23,1,25,0,Stock verified,admin,2026-07-15 16:23:00,admin,2026-07-15 16:23:00
L_io86oufo,1,105,A4 Notebook,General,Classmate,Stationery Hub,stationary,INV-1-105-02,41,49,36,2,15,0,Issued for current term,staff,2026-07-17 09:39:00,staff,2026-07-17 14:39:00
L_gwosdhrb,3,1,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-3-1-01,28,28,26,3,5,0,Stock verified,admin,2026-07-25 09:42:00,admin,2026-07-26 12:42:00
L_w70yb7ih,3,1,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-3-1-02,31,34,30,1,5,0,Stock verified,staff,2026-07-26 14:10:00,admin,2026-07-26 14:10:00
L_g3p7jtlq,3,2,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-3-2-01,31,40,25,1,16,0,Stock verified,admin,2026-07-13 13:20:00,staff,2026-07-14 13:20:00
L_b9321lcw,3,2,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-3-2-02,30,31,24,4,11,0,For classroom use,admin,2026-07-12 13:04:00,admin,2026-07-12 14:04:00
L_62gai81z,3,3,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-3-3-01,53,59,50,0,9,0,Stock verified,staff,2026-07-21 13:57:00,admin,2026-07-21 17:57:00
L_stuj0iih,3,3,A4 Notebook,General,Classmate,Stationery Hub,stationary,INV-3-3-02,45,57,44,3,16,0,Stock verified,staff,2026-07-26 09:12:00,staff,2026-07-26 12:12:00
L_7uvmvliy,4,110,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-4-110-01,43,46,42,2,6,0,Issued for current term,admin,2026-07-11 10:57:00,staff,2026-07-12 11:57:00
L_fnfboods,4,110,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-4-110-02,34,53,30,1,24,0,New academic session,admin,2026-07-15 15:50:00,staff,2026-07-17 17:50:00
L_xdxd5ajt,4,204,Geometry Box,Mathematics,Camlin,EduMart,stationary,INV-4-204-01,42,48,37,4,15,0,Stock verified,staff,2026-07-20 12:06:00,admin,2026-07-22 14:06:00
L_3a8nsj0a,4,204,Practical Record Book,Science,Navneet,School Supplies Co.,stationary,INV-4-204-02,38,49,33,2,18,0,New academic session,staff,2026-07-21 12:13:00,admin,2026-07-22 13:13:00
L_lottbpi6,4,205,Practical Record Book,Science,Navneet,School Supplies Co.,stationary,INV-4-205-01,38,47,32,0,15,0,Stock verified,staff,2026-07-21 12:07:00,admin,2026-07-21 16:07:00
L_7fcwe5iz,4,205,Mathematics Textbook,Mathematics,NCERT,Academic Books India,book,INV-4-205-02,33,33,30,3,6,0,For classroom use,admin,2026-07-17 09:02:00,staff,2026-07-19 13:02:00
L_ffajnuy7,5,106,Science Textbook,Science,NCERT,Scholastic Supplies,book,INV-5-106-01,42,47,37,2,12,0,For classroom use,admin,2026-07-12 14:15:00,admin,2026-07-14 17:15:00
L_r4a7nia2,5,106,English Reader,English,Oxford University Press,Bright Books,book,INV-5-106-02,37,47,34,0,13,0,Issued for current term,admin,2026-07-20 17:09:00,admin,2026-07-20 22:09:00
L_bkmrynnl,5,304,Practical Record Book,Science,Navneet,School Supplies Co.,stationary,INV-5-304-01,47,50,47,4,7,0,New academic session,staff,2026-07-15 11:03:00,staff,2026-07-16 13:03:00
L_l087qwqj,5,304,Mathematics Textbook,Mathematics,NCERT,Academic Books India,book,INV-5-304-02,37,39,37,0,2,0,New academic session,staff,2026-07-18 17:18:00,admin,2026-07-19 22:18:00
L_9fxh4y7x,5,210,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-5-210-01,40,45,34,4,15,0,Issued for current term,staff,2026-07-17 09:22:00,admin,2026-07-19 09:22:00
L_43ulcxlp,5,210,Blue Ball Pen Pack,General,Classroom Essentials,Stationery Hub,stationary,INV-5-210-02,33,44,28,1,17,0,Issued for current term,staff,2026-07-10 14:42:00,staff,2026-07-10 19:42:00
L_coxzfm72,6,107,Social Science Textbook,Social Science,NCERT,Academic Books India,book,INV-6-107-01,34,41,28,1,14,0,For classroom use,staff,2026-07-19 16:08:00,admin,2026-07-20 19:08:00
L_uiky2oc6,6,107,Computer Science Basics,Computer Science,Pearson,EduMart,book,INV-6-107-02,36,53,33,1,21,0,For classroom use,admin,2026-07-10 17:00:00,admin,2026-07-10 19:00:00
L_8ni9tunc,6,404,Mathematics Textbook,Mathematics,NCERT,Academic Books India,book,INV-6-404-01,35,36,33,4,7,0,New academic session,staff,2026-07-23 14:21:00,staff,2026-07-23 19:21:00
L_v0lmokco,6,404,Science Textbook,Science,NCERT,Scholastic Supplies,book,INV-6-404-02,40,44,37,4,11,0,Issued for current term,staff,2026-07-21 10:49:00,staff,2026-07-22 11:49:00
L_5jcwuchn,6,235,Science Textbook,Science,NCERT,Scholastic Supplies,book,INV-6-235-01,33,44,25,1,20,0,Stock verified,staff,2026-07-24 10:14:00,admin,2026-07-25 12:14:00
L_iqa6e83s,6,235,English Reader,English,Oxford University Press,Bright Books,book,INV-6-235-02,36,49,31,2,20,0,Issued for current term,staff,2026-07-14 10:47:00,staff,2026-07-15 12:47:00
L_a5tejqiv,7,108,Tamil Language Reader,Tamil,Tamil Nadu Textbook Corporation,Tamil Book House,book,INV-7-108-01,44,53,40,0,13,0,Stock verified,staff,2026-07-10 12:05:00,admin,2026-07-12 12:05:00
