standard,category,subject,title,publication,default_qty_per_student,edition,academic_year,language,isbn,approved_rate,status
OTHERS,STATIONERY,,Pens,,,,,,,,Active
OTHERS,STATIONERY,,Pencils,,,,,,,,Active
OTHERS,STATIONERY,,Erasers,,,,,,,,Active
OTHERS,STATIONERY,,Sharpeners,,,,,,,,Active
OTHERS,STATIONERY,,Scale,,,,,,,,Active
OTHERS,STATIONERY,,Geometry Box,,,,,,,,Active
OTHERS,STATIONERY,,Crayons,,,,,,,,Active
OTHERS,STATIONERY,,Sketch Pens,,,,,,,,Active
OTHERS,STATIONERY,,Colour Pencils,,,,,,,,Active
OTHERS,STATIONERY,,Glue Stick,,,,,,,,Active
OTHERS,STATIONERY,,Glue Bottle,,,,,,,,Active
OTHERS,STATIONERY,,Chart Paper,,,,,,,,Active
OTHERS,STATIONERY,,Craft Paper,,,,,,,,Active
OTHERS,STATIONERY,,A4 Sheets,,,,,,,,Active
OTHERS,STATIONERY,,Brown Covers,,,,,,,,Active
OTHERS,STATIONERY,,Labels,,,,,,,,Active
OTHERS,STATIONERY,,White Board Marker,,,,,,,,Active
OTHERS,STATIONERY,,Duster,,,,,,,,Active
OTHERS,STATIONERY,,Stapler,,,,,,,,Active
OTHERS,STATIONERY,,Staple Pins,,,,,,,,Active
OTHERS,STATIONERY,,Punch Machine,,,,,,,,Active
OTHERS,STATIONERY,,Tape,,,,,,,,Active
OTHERS,STATIONERY,,Scissors,,,,,,,,Active
OTHERS,STATIONERY,,Files,,,,,,,,Active
OTHERS,STATIONERY,,Registers,,,,,,,,Active
OTHERS,STATIONERY,,Attendance Register,,,,,,,,Active
OTHERS,STATIONERY,,Chalk,,,,,,,,Active
OTHERS,STATIONERY,,Whiteboard,,,,,,,,Active
OTHERS,STATIONERY,,Printer Paper,,,,,,,,Active
OTHERS,STATIONERY,,Toner,,,,,,,,Active
OTHERS,STATIONERY,,Ink Cartridge,,,,,,,,Active
